dataset,size,algorithm,milliseconds
random,14700,merge_insertion_t15,1.16699
random,14800,merge_sort,1.37966
random,14800,merge_insertion_t15,1.14673
random,14900,merge_sort,1.45236
random,14900,merge_insertion_t15,1.15993
random,15000,merge_sort,1.44719
random,15000,merge_insertion_t15,1.20356
random,15100,merge_sort,1.41103
random,15100,merge_insertion_t15,1.1668
random,15200,merge_sort,1.42487
random,15200,merge_insertion_t15,1.18427
random,15300,merge_sort,1.42214
random,15300,merge_insertion_t15,1.22302
random,15400,merge_sort,1.47436
random,15400,merge_insertion_t15,1.21139
random,15500,merge_sort,1.50602
random,15500,merge_insertion_t15,1.21677
random,15600,merge_sort,1.4389
random,15600,merge_insertion_t15,1.27493
random,15700,merge_sort,1.49074
random,15700,merge_insertion_t15,1.26843
random,15800,merge_sort,1.53808
random,15800,merge_insertion_t15,1.31401
random,15900,merge_sort,1.50963
random,15900,merge_insertion_t15,1.30488
random,16000,merge_sort,1.50249
random,16000,merge_insertion_t15,1.33069
random,16100,merge_sort,1.52229
random,16100,merge_insertion_t15,1.30879
random,16200,merge_sort,1.52691
random,16200,merge_insertion_t15,1.34563
random,16300,merge_sort,1.50861
random,16300,merge_insertion_t15,1.40296
random,16400,merge_sort,1.5433
random,16400,merge_insertion_t15,1.40618
random,16500,merge_sort,1.54966
random,16500,merge_insertion_t15,1.39356
random,16600,merge_sort,1.56696
random,16600,merge_insertion_t15,1.39315
random,16700,merge_sort,1.57756
random,16700,merge_insertion_t15,1.41693
random,16800,merge_sort,1.55203
random,16800,merge_insertion_t15,1.40342
random,16900,merge_sort,1.64192
random,16900,merge_insertion_t15,1.40431
random,17000,merge_sort,1.6095
random,17000,merge_insertion_t15,1.41016
random,17100,merge_sort,1.61868
random,17100,merge_insertion_t15,1.46789
random,17200,merge_sort,1.62441
random,17200,merge_insertion_t15,1.46789
random,17300,merge_sort,1.6337
random,17300,merge_insertion_t15,1.43792
random,17400,merge_sort,1.68559
random,17400,merge_insertion_t15,1.44857
random,17500,merge_sort,1.66
random,17500,merge_insertion_t15,1.4921
random,17600,merge_sort,1.67086
random,17600,merge_insertion_t15,1.48684
random,17700,merge_sort,1.67837
random,17700,merge_insertion_t15,1.48989
random,17800,merge_sort,1.68715
random,17800,merge_insertion_t15,1.47186
random,17900,merge_sort,1.7044
random,17900,merge_insertion_t15,1.49133
random,18000,merge_sort,1.71993
random,18000,merge_insertion_t15,1.51017
random,18100,merge_sort,1.73215
random,18100,merge_insertion_t15,1.54018
random,18200,merge_sort,1.72475
random,18200,merge_insertion_t15,1.52986
random,18300,merge_sort,1.72729
random,18300,merge_insertion_t15,1.53283
random,18400,merge_sort,1.80605
random,18400,merge_insertion_t15,1.53059
random,18500,merge_sort,1.78987
random,18500,merge_insertion_t15,1.5723
random,18600,merge_sort,1.80297
random,18600,merge_insertion_t15,1.57044
random,18700,merge_sort,1.77761
random,18700,merge_insertion_t15,1.59054
random,18800,merge_sort,1.80415
random,18800,merge_insertion_t15,1.58433
random,18900,merge_sort,1.82108
random,18900,merge_insertion_t15,1.58387
random,19000,merge_sort,1.80099
random,19000,merge_insertion_t15,1.5932
random,19100,merge_sort,1.85422
random,19100,merge_insertion_t15,1.59023
random,19200,merge_sort,1.85516
random,19200,merge_insertion_t15,1.59196
random,19300,merge_sort,1.84775
random,19300,merge_insertion_t15,1.63093
random,19400,merge_sort,1.82729
random,19400,merge_insertion_t15,1.64766
random,19500,merge_sort,1.85015
random,19500,merge_insertion_t15,1.62747
random,19600,merge_sort,1.83692
random,19600,merge_insertion_t15,1.6481
random,19700,merge_sort,1.90835
random,19700,merge_insertion_t15,1.68102
random,19800,merge_sort,1.90291
random,19800,merge_insertion_t15,1.63535
random,19900,merge_sort,1.9493
random,19900,merge_insertion_t15,1.65955
random,20000,merge_sort,1.91722
random,20000,merge_insertion_t15,1.65194
random,20100,merge_sort,1.93263
random,20100,merge_insertion_t15,1.68783
random,20200,merge_sort,1.92979
random,20200,merge_insertion_t15,1.70855
random,20300,merge_sort,1.94503
random,20300,merge_insertion_t15,1.69958
random,20400,merge_sort,1.94989
random,20400,merge_insertion_t15,1.72707
random,20500,merge_sort,1.98495
random,20500,merge_insertion_t15,1.78735
random,20600,merge_sort,1.98457
random,20600,merge_insertion_t15,1.9157
random,20700,merge_sort,1.99055
random,20700,merge_insertion_t15,1.77335
random,20800,merge_sort,2.05355
random,20800,merge_insertion_t15,1.78874
random,20900,merge_sort,1.99202
random,20900,merge_insertion_t15,1.75547
random,21000,merge_sort,2.03403
random,21000,merge_insertion_t15,1.78434
random,21100,merge_sort,2.07385
random,21100,merge_insertion_t15,1.7847
random,21200,merge_sort,2.07192
random,21200,merge_insertion_t15,1.78918
random,21300,merge_sort,2.06254
random,21300,merge_insertion_t15,1.85262
random,21400,merge_sort,2.06657
random,21400,merge_insertion_t15,1.88934
random,21500,merge_sort,2.17233
random,21500,merge_insertion_t15,1.83901
random,21600,merge_sort,2.10257
random,21600,merge_insertion_t15,1.81955
random,21700,merge_sort,2.12275
random,21700,merge_insertion_t15,1.86291
random,21800,merge_sort,2.17778
random,21800,merge_insertion_t15,1.85846
random,21900,merge_sort,2.12565
random,21900,merge_insertion_t15,1.85316
random,22000,merge_sort,2.12552
random,22000,merge_insertion_t15,1.87315
random,22100,merge_sort,2.19181
random,22100,merge_insertion_t15,1.9019
random,22200,merge_sort,2.17856
random,22200,merge_insertion_t15,1.87037
random,22300,merge_sort,2.17512
random,22300,merge_insertion_t15,1.89104
random,22400,merge_sort,2.18883
random,22400,merge_insertion_t15,1.91694
random,22500,merge_sort,2.22275
random,22500,merge_insertion_t15,2.02271
random,22600,merge_sort,2.48363
random,22600,merge_insertion_t15,2.15589
random,22700,merge_sort,2.23867
random,22700,merge_insertion_t15,1.97335
random,22800,merge_sort,2.25804
random,22800,merge_insertion_t15,1.92631
random,22900,merge_sort,2.26343
random,22900,merge_insertion_t15,1.95275
random,23000,merge_sort,2.32563
random,23000,merge_insertion_t15,1.924
random,23100,merge_sort,2.26877
random,23100,merge_insertion_t15,1.94974
random,23200,merge_sort,2.32373
random,23200,merge_insertion_t15,1.96797
random,23300,merge_sort,2.32432
random,23300,merge_insertion_t15,1.95828
random,23400,merge_sort,2.30549
random,23400,merge_insertion_t15,1.99755
random,23500,merge_sort,2.34317
random,23500,merge_insertion_t15,2.03209
random,23600,merge_sort,2.34166
random,23600,merge_insertion_t15,2.02207
random,23700,merge_sort,2.32271
random,23700,merge_insertion_t15,2.04281
random,23800,merge_sort,2.31101
random,23800,merge_insertion_t15,2.03902
random,23900,merge_sort,2.36287
random,23900,merge_insertion_t15,2.03675
random,24000,merge_sort,2.36202
random,24000,merge_insertion_t15,2.06042
random,24100,merge_sort,2.3384
random,24100,merge_insertion_t15,2.01639
random,24200,merge_sort,2.39674
random,24200,merge_insertion_t15,2.04089
random,24300,merge_sort,2.38829
random,24300,merge_insertion_t15,2.11925
random,24400,merge_sort,2.38097
random,24400,merge_insertion_t15,2.06999
random,24500,merge_sort,2.41155
random,24500,merge_insertion_t15,2.10126
random,24600,merge_sort,2.41758
random,24600,merge_insertion_t15,2.11273
random,24700,merge_sort,2.39603
random,24700,merge_insertion_t15,2.09772
random,24800,merge_sort,2.44184
random,24800,merge_insertion_t15,2.09459
random,24900,merge_sort,2.52425
random,24900,merge_insertion_t15,2.08045
random,25000,merge_sort,2.52833
random,25000,merge_insertion_t15,2.2303
random,25100,merge_sort,2.49929
random,25100,merge_insertion_t15,2.12707
random,25200,merge_sort,2.44089
random,25200,merge_insertion_t15,2.15908
random,25300,merge_sort,2.51154
random,25300,merge_insertion_t15,2.12578
random,25400,merge_sort,3.01194
random,25400,merge_insertion_t15,2.52726
random,25500,merge_sort,2.91967
random,25500,merge_insertion_t15,2.37307
random,25600,merge_sort,2.56604
random,25600,merge_insertion_t15,2.20857
random,25700,merge_sort,2.56698
random,25700,merge_insertion_t15,2.17483
random,25800,merge_sort,2.54261
random,25800,merge_insertion_t15,2.15672
random,25900,merge_sort,2.59659
random,25900,merge_insertion_t15,2.19495
random,26000,merge_sort,2.63011
random,26000,merge_insertion_t15,2.22767
random,26100,merge_sort,2.58628
random,26100,merge_insertion_t15,2.20274
random,26200,merge_sort,2.57429
random,26200,merge_insertion_t15,2.21814
random,26300,merge_sort,2.65402
random,26300,merge_insertion_t15,2.33695
random,26400,merge_sort,2.61641
random,26400,merge_insertion_t15,2.25192
random,26500,merge_sort,2.57488
random,26500,merge_insertion_t15,2.27438
